Dates;Returns 84-97;VW mrkt returns 
29-Feb-84;-0.1461;-0.0392
30-Mar-84;-0.0083;0.0135
30-Apr-84;0.1513;0.0027
31-May-84;0.0146;-0.0524
29-Jun-84;0.0388;0.0236
31-Jul-84;-0.1806;-0.0204
31-Aug-84;0.2237;0.1126
28-Sep-84;-0.0556;0.0004
31-Oct-84;0.0515;0.0001
30-Nov-84;-0.1441;-0.0106
31-Dec-84;0.0164;0.0238
31-Jan-85;0.5081;0.0857
28-Feb-85;0.0207;0.0170
29-Mar-85;-0.0263;-0.0019
30-Apr-85;-0.1081;-0.0022
31-May-85;0.0999;0.0559
28-Jun-85;0.0608;0.0172
31-Jul-85;0.0052;-0.0005
30-Aug-85;-0.0493;-0.0048
30-Sep-85;-0.1202;-0.0397
31-Oct-85;0.1056;0.0446
29-Nov-85;0.1488;0.0693
31-Dec-85;0.2745;0.0431
31-Jan-86;0.1192;0.0099
28-Feb-86;0.0803;0.0728
31-Mar-86;-0.0032;0.0539
30-Apr-86;-0.2212;-0.0081
30-May-86;0.1011;0.0508
30-Jun-86;0.0637;0.0143
31-Jul-86;-0.1831;-0.0597
29-Aug-86;-0.0062;0.0664
30-Sep-86;-0.1696;-0.0791
31-Oct-86;0.3455;0.0494
28-Nov-86;-0.0795;0.0152
31-Dec-86;-0.0932;-0.0265
30-Jan-87;0.3505;0.1284
27-Feb-87;0.0263;0.0476
31-Mar-87;-0.0237;0.0232
30-Apr-87;-0.1094;-0.0171
29-May-87;0.0084;0.0052
30-Jun-87;-0.1047;0.0438
31-Jul-87;0.0519;0.0441
31-Aug-87;0.2188;0.0372
30-Sep-87;-0.0660;-0.0207
30-Oct-87;-0.4728;-0.2249
30-Nov-87;-0.0367;-0.0729
31-Dec-87;0.0753;0.0704
29-Jan-88;0.0100;0.0453
29-Feb-88;0.0836;0.0516
31-Mar-88;-0.0926;-0.0171
29-Apr-88;0.0306;0.0110
31-May-88;-0.0844;0.0009
30-Jun-88;0.0326;0.0514
29-Jul-88;-0.0316;-0.0072
31-Aug-88;-0.0165;-0.0279
30-Sep-88;0.0444;0.0373
31-Oct-88;0.0000;0.0177
30-Nov-88;-0.0162;-0.0164
30-Dec-88;-0.0543;0.0208
31-Jan-89;0.3793;0.0659
28-Feb-89;-0.0793;-0.0164
31-Mar-89;-0.0364;0.0216
28-Apr-89;-0.0189;0.0485
31-May-89;0.2450;0.0397
